0	41758	41758
41758	1214428	1172670
1214428	2420083	1205655
2420083	3420083	1000000
3420083	4148297	728214
4148297	4836535	688238
4836535	6035586	1199051
6035586	6540975	505389
6540975	7724035	1183060
7724035	8407163	683128
8407163	10100546	1693383
10100546	10771662	671116
10771662	11963622	1191960
11963622	12477341	513719
12477341	13079695	602354
13079695	13682050	602355
13682050	14367269	685219
14367269	15556598	1189329
15556598	16054173	497575
16054173	17259850	1205677
17259850	17951280	691430
17951280	19161122	1209842
19161122	19679478	518356
19679478	20887796	1208318
20887796	21578387	690591
21578387	22785939	1207552
22785939	23303432	517493
23303432	24511605	1208173
24511605	25202198	690593
25202198	26402182	1199984
26402182	26919058	516876
26919058	28124161	1205103
28124161	28810437	686276
28810437	30011353	1200916
30011353	30527359	516006
30527359	31731419	1204060
31731419	32420458	689039
32420458	33625358	1204900
33625358	34141630	516272
34141630	35345965	1204335
35345965	36033724	687759
36033724	37239240	1205516
37239240	37757092	517852
37757092	38964790	1207698
38964790	39654509	689719
39654509	40861434	1206925
40861434	41378814	517380
41378814	42586163	1207349
42586163	43276530	690367
43276530	44484991	1208461
44484991	45002680	517689
45002680	46211254	1208574
46211254	46902164	690910
46902164	48109507	1207343
48109507	48627856	518349
48627856	49836606	1208750
49836606	50527281	690675
50527281	51736395	1209114
51736395	52254443	518048
52254443	53463546	1209103
53463546	54154450	690904
54154450	55363662	1209212
55363662	55881906	518244
55881906	57090426	1208520
57090426	57781008	690582
57781008	58989578	1208570
58989578	59507315	517737
59507315	60716149	1208834
60716149	61407050	690901
61407050	62616203	1209153
62616203	63134189	517986
63134189	64343482	1209293
64343482	65033525	690043
65033525	66241690	1208165
66241690	66759675	517985
66759675	67966521	1206846
67966521	68656265	689744
68656265	69864378	1208113
69864378	70381858	517480
70381858	71589380	1207522
71589380	72279785	690405
72279785	73487941	1208156
73487941	74005615	517674
74005615	75213226	1207611
75213226	75903627	690401
75903627	77110437	1206810
77110437	77627608	517171
77627608	78834490	1206882
78834490	79524821	690331
79524821	80729553	1204732
80729553	81245697	516144
81245697	82455157	1209460
82455157	83146112	690955
83146112	84352769	1206657
84352769	84871378	518609
84871378	86080866	1209488
86080866	86771753	690887
86771753	87980295	1208542
87980295	88497926	517631
88497926	88897125	399199
88897125	89296325	399199
89296325	89695524	399199
89695524	90034438	338914
90034438	90373352	338914
90373352	90770781	397429
90770781	91168211	397429
91168211	91565640	397429
91565640	92075810	510170
92075810	92472703	396893
92472703	92869596	396893
92869596	93266489	396893
93266489	93607112	340623
93607112	93947735	340623
93947735	95146588	299713
95146588	95655918	254665
95655918	96833625	294427
96833625	97513393	339884
97513393	98699165	237154
98699165	99203634	252235
99203634	100375021	234277
100375021	100974704	199894
100974704	102008260	206711
102008260	102471087	231414
102471087	103622527	230288
103622527	104287957	221810
104287957	105491080	240625
105491080	106007725	258323
106007725	107213428	200951
107213428	107901265	229279
107901265	109106619	200892
109106619	109623581	258481
109623581	109923581	300000
109923581	110223581	300000
110223581	110523581	300000
110523581	110823097	299516
110823097	111513393	138059
111513393	112722694	134367
112722694	113239892	129300
113239892	114448837	134327
114448837	115139420	138117
115139420	116348804	134376
116348804	116865972	129292
116865972	118070685	109519
118070685	118761633	115158
118761633	119970792	109924
119970792	120489197	129601
120489197	121698739	120954
121698739	122389900	115194
122389900	123598779	109898
123598779	124116648	129467
124116648	125326189	109958
125326189	126017096	115151
126017096	127226256	109924
127226256	127744602	103669
127744602	128953997	109945
128953997	129644983	115164
129644983	130854355	109943
130854355	131372562	103641
131372562	132581908	109941
132581908	133272891	115164
133272891	134481741	100738
134481741	135000147	129602
135000147	136209622	120948
136209622	136900541	115153
136900541	138109593	134339
138109593	138627993	129600
138627993	139836807	120881
